date,pond,raindoy,year,precip_mm,risestarttime,riseendtime,norise,multiday,multipeak,exclude
2023-09-23,Tiedemans,266,2023,0.508,NA,NA,X,NA,NA,NA
2023-09-26,Tiedemans,269,2023,55.499,2023-09-25 00:00,2023-09-27 02:40,NA,X,X,NA
2023-10-12,Tiedemans,285,2023,1.524,NA,NA,X,NA,NA,NA
2023-10-13,Tiedemans,286,2023,13.208,2023-10-12 10:50,2023-10-12 20:30,NA,NA,NA,NA
2023-10-20,Tiedemans,293,2023,2.286,NA,NA,X,NA,NA,NA
2023-10-24,Tiedemans,297,2023,13.716,2023-10-23 13:50,2023-10-23 16:30,NA,NA,NA,NA
2023-10-25,Tiedemans,298,2023,2.54,NA,NA,X,NA,NA,NA
2023-10-26,Tiedemans,299,2023,2.54,NA,NA,X,NA,NA,NA
2023-10-27,Tiedemans,300,2023,10.16,2023-10-26 12:00,2023-10-26 15:10,NA,NA,NA,NA
2024-04-01,Tiedemans,92,2024,0.254,NA,NA,X,NA,NA,NA
2024-04-02,Tiedemans,93,2024,67.056,2024-04-01 13:55,2024-04-02 18:00,NA,X,X,NA
2024-04-04,Tiedemans,95,2024,2.032,NA,NA,X,NA,NA,NA
2024-04-05,Tiedemans,96,2024,0.508,NA,NA,X,NA,NA,NA
2024-04-08,Tiedemans,99,2024,4.572,2024-04-07 09:50,2024-04-07 14:15,NA,NA,NA,NA
2024-04-12,Tiedemans,103,2024,1.651,NA,NA,X,NA,NA,NA
2024-04-17,Tiedemans,108,2024,27.813,2024-04-16 18:30,2024-04-16 23:55,NA,NA,X,NA
2024-04-18,Tiedemans,109,2024,0.254,NA,NA,X,NA,NA,NA
2024-04-19,Tiedemans,110,2024,1.778,NA,NA,X,NA,NA,NA
2024-04-23,Tiedemans,114,2024,0.508,NA,NA,X,NA,NA,NA
2024-04-27,Tiedemans,118,2024,4.191,2024-04-26 15:40,2024-04-26 19:15,NA,NA,NA,NA
2024-04-28,Tiedemans,119,2024,13.716,2024-04-27 20:45,2024-04-28 20:35,NA,X,X,NA
2024-04-30,Tiedemans,121,2024,1.27,NA,NA,X,NA,NA,NA
2024-05-01,Tiedemans,122,2024,0.254,NA,NA,X,NA,NA,NA
2024-05-03,Tiedemans,124,2024,4.064,2024-05-02 10:35,2024-05-02 13:20,NA,NA,NA,NA
2024-05-08,Tiedemans,129,2024,45.72,2024-05-07 14:00,2024-05-07 16:35,NA,NA,NA,NA
2024-05-09,Tiedemans,130,2024,10.668,2024-05-09 06:00,2024-05-09 15:35,NA,X,NA,NA
2024-05-13,Tiedemans,134,2024,7.874,2024-05-12 16:30,2024-05-12 18:00,NA,NA,NA,NA
2024-05-14,Tiedemans,135,2024,0.508,NA,NA,X,NA,NA,NA
2024-05-20,Tiedemans,141,2024,8.128,2024-05-20 06:00,2024-05-20 17:50,NA,X,NA,NA
2024-05-22,Tiedemans,143,2024,47.625,2024-05-21 19:30,2024-05-22 03:00,NA,NA,NA,NA
2024-05-25,Tiedemans,146,2024,52.578,2024-05-24 09:50,2024-05-25 06:00,NA,NA,X,NA
2024-05-27,Tiedemans,148,2024,16.764,2024-05-26 13:00,2024-05-26 21:00,NA,NA,NA,NA
2024-05-28,Tiedemans,149,2024,0.127,NA,NA,X,NA,NA,NA
2024-05-29,Tiedemans,150,2024,8.128,2024-05-28 13:45,2024-05-28 17:15,NA,NA,NA,NA
2024-05-31,Tiedemans,152,2024,3.302,NA,NA,X,NA,NA,NA
2024-06-02,Tiedemans,154,2024,21.209,2024-06-01 10:10,2024-06-01 13:10,NA,NA,NA,NA
2024-06-04,Tiedemans,156,2024,23.749,2024-06-03 12:40,2024-06-04 23:15,NA,X,X,NA
2024-06-06,Tiedemans,158,2024,4.699,NA,NA,X,NA,NA,NA
2024-06-09,Tiedemans,161,2024,2.032,NA,NA,X,NA,NA,NA
2024-06-13,Tiedemans,165,2024,12.446,2024-06-12 17:25,2024-06-13 06:25,NA,NA,X,NA
2024-06-16,Tiedemans,168,2024,1.524,NA,NA,X,NA,NA,NA
2024-06-17,Tiedemans,169,2024,3.302,NA,NA,X,NA,NA,NA
2024-06-20,Tiedemans,172,2024,6.096,NA,NA,X,NA,NA,NA
2024-06-21,Tiedemans,173,2024,2.54,NA,NA,X,NA,NA,NA
2024-06-22,Tiedemans,174,2024,48.006,2024-06-21 14:55,2024-06-22 21:00,NA,X,X,NA
2024-06-24,Tiedemans,176,2024,0.254,NA,NA,X,NA,NA,NA
2024-06-25,Tiedemans,177,2024,10.922,2024-06-24 19:30,2024-06-24 21:00,NA,NA,NA,NA
2024-06-28,Tiedemans,180,2024,1.905,NA,NA,X,NA,NA,NA
2024-06-29,Tiedemans,181,2024,33.401,2024-06-28 07:50,2024-06-29 02:00,NA,NA,NA,NA
2024-07-02,Tiedemans,184,2024,63.246,2024-07-02 02:15,2024-07-03 00:00,NA,X,X,NA
2024-07-05,Tiedemans,187,2024,13.208,2024-07-04 16:05,2024-07-04 17:10,NA,NA,NA,NA
2024-07-07,Tiedemans,189,2024,0.889,NA,NA,X,NA,NA,NA
2024-07-08,Tiedemans,190,2024,0.508,NA,NA,X,NA,NA,NA
2024-07-14,Tiedemans,196,2024,83.058,2024-07-13 19:55,2024-07-14 20:10,NA,X,X,NA
2024-07-16,Tiedemans,198,2024,0.762,NA,NA,X,NA,NA,NA
2024-07-22,Tiedemans,204,2024,36.068,2024-07-21 15:45,2024-07-21 20:55,NA,NA,NA,NA
2024-07-23,Tiedemans,205,2024,23.114,2024-07-23 06:00,2024-07-23 23:10,NA,X,X,NA
2024-07-29,Tiedemans,211,2024,3.556,2024-07-28 10:10,2024-07-28 12:20,NA,NA,NA,NA
2024-07-30,Tiedemans,212,2024,3.302,2024-07-29 07:30,2024-07-29 10:30,NA,NA,NA,NA
2024-08-06,Tiedemans,219,2024,32.004,2024-08-06 00:25,2024-08-06 06:00,NA,NA,NA,NA
2024-08-07,Tiedemans,220,2024,0.254,NA,NA,X,NA,NA,NA
2024-08-15,Tiedemans,228,2024,4.318,2024-08-15 03:00,2024-08-15 07:25,NA,NA,NA,NA
2024-08-16,Tiedemans,229,2024,4.318,NA,NA,X,NA,NA,NA
2024-08-17,Tiedemans,230,2024,9.144,2024-08-16 15:00,2024-08-16 18:00,NA,NA,NA,NA
2024-08-30,Tiedemans,243,2024,17.272,2024-08-30 00:40,2024-08-30 05:05,NA,NA,NA,NA
2024-08-31,Tiedemans,244,2024,0.508,NA,NA,X,NA,NA,NA
2024-09-06,Tiedemans,250,2024,0.635,NA,NA,X,NA,NA,NA
